Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,St. Petersburg,RUS_STP,..,..,..,48.5,48.7,46.8,47.2,47.3,46.1,46.2
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Surabaya,IDN_SUR,..,..,..,32.3,31.4,29.7,30.6,30,30.1,30.1
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Tokyo,JPN_TOK,46.8,47.6,48.4,48.7,50.3,50.4,48.8,47.3,46.7,46.7
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Afghanistan,AFG,35.8,35.8,35.8,35.6,36.1,36.1,47.9,71.4,71.4,71.4
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Albania,ALB,40.6,38.7,38.8,31.7,31.6,36.9,36.9,37.3,37.3,36.6
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Algeria,DZA,72.5,72.5,72.4,72.3,73.2,73.2,66,66.1,66.1,66.1
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Angola,AGO,52.2,52.3,52.3,52.6,52.6,49,48,49.1,49.1,49.1
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Antigua and Barbuda,ATG,41,41,41,40.9,41.6,41.9,41.9,41.9,42.8,43
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Argentina,ARG,107.4,107.4,107.5,119.4,137.4,137.6,106,106,106,106.3
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Armenia,ARM,38.6,38.8,38.8,35.9,20.1,20,18.5,18.5,18.5,22.6
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Australia,AUS,47.6,47.3,47.2,47.3,47.4,47.6,47.6,47.5,47.4,47.4
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Austria,AUT,51.3,50.8,52.3,51.9,51.7,51.7,51.6,51.8,51.5,51.4
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Azerbaijan,AZE,38.9,40,40,39.8,39.8,39.8,39.8,39.8,41.2,40.7
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,"Bahamas, The",BHS,42.9,44.6,44.6,48.5,41.1,33.8,33.8,31.5,31.5,33.8
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Bahrain,BHR,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.8,13.8,13.8
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Bangladesh,BGD,..,..,..,35.4,35.4,34.4,34.4,33.4,33.4,33.4
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Barbados,BRB,..,35,34.7,34.6,34.6,34.7,34.7,35.3,35.3,35.6
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Belarus,BLR,80.8,63,54.3,50.5,50.3,51.9,52.7,52.9,53.3,53.3
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Belgium,BEL,57.3,57.7,58.2,58,58.4,58.4,58.7,57.1,57.7,55.4
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Belize,BLZ,33.2,33.2,33.2,31.1,31.1,31.1,31.1,31.1,31.1,31.1
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Benin,BEN,55,55,55,48.9,48.9,48.9,48.9,48.9,48.9,48.9
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Bhutan,BTN,37.3,37.3,37.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Bolivia,BOL,80,80,83.4,83.7,83.7,83.7,83.7,83.7,83.7,83.7
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Bosnia and Herzegovina,BIH,22.2,23.6,23.6,22.2,23.3,23.3,22.6,23.7,23.7,23.7
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Botswana,BWA,19.5,19.5,25.4,25.3,25.1,25.1,25.1,25.1,25.1,25.1
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Brazil,BRA,..,..,..,66.1,66,65.6,65.3,65.1,65.1,65.1
